Official name of position,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID,,,,,,,
FPix_BmO_D1_BLD6_PNL2_RNG2,12T,M-O-1-04,4377,7,1Tc,1TB,3,PR126,portcard_FPix_BmO_D1_PRT2,PB-21,J12,3,dcdc_FPix_BmO_D1_PRT2,Disk1_RG3,CI-A 035,P87,D5,SN133278/0010,C10,3.02E+13,A,0x7e,0x10,FPix -z up right 5,5,FPix -z up right 6,4,10,orange-2,3/4,3,t,1334,bottom,,9,1,1,D1-RG3-HV1,,1303,,,"HV group: Disk(1-3) PCStack(a-d in phi) Group(1-4): 1 bottom PC inner, 2 bottom PC outer, 3 top PC inner, 4 top PC outer",,,,
FPix_BmO_D1_BLD5_PNL2_RNG2,13T,M-Q-2-26,4123W,6,1Tc,1TB,1,PR126,portcard_FPix_BmO_D1_PRT2,PB-21,J12,3,dcdc_FPix_BmO_D1_PRT2,Disk1_RG3,CI-A 035,P87,D4,SN122498/0032,C10,3.02E+13,A,0x7e,0x10,FPix -z up right 5,4,FPix -z up right 6,4,11,orange-2,27/28,2,b,1333,bottom,,9,1,1,D1-RG3-HV1,,1302,,,,,,,
FPix_BmO_D1_BLD4_PNL2_RNG2,14T,M-B-7-22,4010,1,1Td,1TA,7,PR156,portcard_FPix_BmO_D1_PRT1,PB-31,J12,3,dcdc_FPix_BmO_D1_PRT1,Disk1_RG4,CI-A 033,FP24,D4,SN122498/0032,C10,3.02E+13,B,0x7d,0x10,FPix -z up right 5,4,FPix -z up right 6,4,11,brown-4,31/32,2,b,1333,bottom,,9,1,2,D1-RG4-HV1,,1302,,,FED ID - 31 = old FEDID,,,,
FPix_BmO_D1_BLD3_PNL2_RNG2,15T,M-Q-A-08,4110W,8,1Td,1TA,5,PR156,portcard_FPix_BmO_D1_PRT1,PB-31,J12,3,dcdc_FPix_BmO_D1_PRT1,Disk1_RG4,CI-A 033,FP24,D3,SN122498/0033,C10,3.02E+13,B,0x7d,0x10,FPix -z up right 5,3,FPix -z up right 6,4,12,brown-4,7/8,2,t,1333,bottom,,9,1,2,D1-RG4-HV1,,1302,,,,,,,
FPix_BmO_D1_BLD2_PNL2_RNG2,16T,M-Q-3-41,4021,7,1Td,1TA,3,PR156,portcard_FPix_BmO_D1_PRT1,PB-31,J12,3,dcdc_FPix_BmO_D1_PRT1,Disk1_RG4,CI-A 033,FP24,D2,SN122498/0049,C10,3.02E+13,B,0x7d,0x10,FPix -z up right 5,2,FPix -z up right 6,4,13,brown-4,31/32,1,b,1332,bottom,,9,1,2,D1-RG4-HV1,,1301,,,,,,,
FPix_BmO_D1_BLD1_PNL2_RNG2,17T,M-Q-3-09,4013,6,1Td,1TA,1,PR156,portcard_FPix_BmO_D1_PRT1,PB-31,J12,3,dcdc_FPix_BmO_D1_PRT1,Disk1_RG4,CI-A 033,FP24,D1,SN122498/0055,C10,3.02E+13,B,0x7d,0x10,FPix -z up right 5,1,FPix -z up right 6,4,14,brown-4,7/8,1,t,1332,bottom,,9,1,2,D1-RG4-HV1,,1301,,,,,,,
FPix_BmO_D1_BLD17_PNL1_RNG2,1B,M-Y-P-NW,4381,5,1Ba,1BD,7,PR020,portcard_FPix_BmO_D1_PRT4,PB-16,J11,1,dcdc_FPix_BmO_D1_PRT4,Disk1_RG1,CI-A 036,FP25,A21,SN133278/0001,B14,3.02E+13,A,0x7b,0x10,FPix -z down right 2,1,FPix -z down right 3,2,1,blue-1,25/26,7,b,1338,bottom,,10,1,1,D1-RG1-HV1,,1307,,,,,,,
FPix_BmO_D1_BLD16_PNL1_RNG2,2B,M-P-2-32,4373,4,1Ba,1BD,5,PR020,portcard_FPix_BmO_D1_PRT4,PB-16,J11,1,dcdc_FPix_BmO_D1_PRT4,Disk1_RG1,CI-A 036,FP25,A20,SN133278/0002,B14,3.02E+13,A,0x7b,0x10,FPix -z down right 2,2,FPix -z down right 3,2,2,blue-1,1/2,7,t,1338,bottom,,10,1,1,D1-RG1-HV1,,1307,,,,,,,
FPix_BmO_D1_BLD15_PNL1_RNG2,3B,M-Q-2-35,4109W,3,1Ba,1BD,3,PR020,portcard_FPix_BmO_D1_PRT4,PB-16,J11,1,dcdc_FPix_BmO_D1_PRT4,Disk1_RG1,CI-A 036,FP25,A19,SN133278/0003,B14,3.02E+13,A,0x7b,0x10,FPix -z down right 2,3,FPix -z down right 3,2,3,blue-1,25/26,6,b,1337,bottom,,10,1,1,D1-RG1-HV1,,1306,,,,,,,
FPix_BmO_D1_BLD14_PNL1_RNG2,4B,M-N-3-25,4017,2,1Ba,1BD,1,PR020,portcard_FPix_BmO_D1_PRT4,PB-16,J11,1,dcdc_FPix_BmO_D1_PRT4,Disk1_RG1,CI-A 036,FP25,A18,SN133278/0004,B14,3.02E+13,A,0x7b,0x10,FPix -z down right 2,4,FPix -z down right 3,2,4,blue-1,1/2,6,t,1337,bottom,,10,1,1,D1-RG1-HV1,,1306,,,,,,,
FPix_BmO_D1_BLD13_PNL1_RNG2,5B,M-Q-1-14,4114W,6,1Bb,1BC,7,PR049,portcard_FPix_BmO_D1_PRT3,PB-4,J11,1,dcdc_FPix_BmO_D1_PRT3,Disk1_RG2,CI-A 027,PP6,A18,SN133278/0004,B14,3.02E+13,B,0x7c,0x10,FPix -z down right 2,4,FPix -z down right 3,2,4,green-3,5/6,6,t,1337,bottom,,10,1,2,D1-RG2-HV1,,1306,,,,,,,
FPix_BmO_D1_BLD12_PNL1_RNG2,6B,M-K-1-17,4372,5,1Bb,1BC,5,PR049,portcard_FPix_BmO_D1_PRT3,PB-4,J11,1,dcdc_FPix_BmO_D1_PRT3,Disk1_RG2,CI-A 027,PP6,A17,SN133278/0005,B14,3.02E+13,B,0x7c,0x10,FPix -z down right 2,5,FPix -z down right 3,2,5,green-3,29/30,5,b,1336,bottom,,10,1,2,D1-RG2-HV1,,1305,,,,,,,
FPix_BmO_D1_BLD11_PNL1_RNG2,7B,M-Q-3-23,4383,4,1Bb,1BC,4,PR049,portcard_FPix_BmO_D1_PRT3,PB-4,J11,2,dcdc_FPix_BmO_D1_PRT3,Disk1_RG2,CI-A 027,PP6,B16,SN133278/0006,B14,3.02E+13,B,0x7c,0x10,FPix -z down right 2,6,FPix -z down right 3,2,6,blue-1,1/2,5,t,1336,bottom,,10,1,2,D1-RG2-HV1,,1305,,,,,,,
FPix_BmO_D1_BLD10_PNL1_RNG2,8B,M-Q-3-33,4374,3,1Bb,1BC,3,PR049,portcard_FPix_BmO_D1_PRT3,PB-4,J11,1,dcdc_FPix_BmO_D1_PRT3,Disk1_RG2,CI-A 027,PP6,B16,SN133278/0006,B14,3.02E+13,B,0x7c,0x10,FPix -z down right 2,6,FPix -z down right 3,2,6,green-3,5/6,5,t,1336,bottom,,10,1,2,D1-RG2-HV1,,1305,,,,,,,
FPix_BmO_D1_BLD9_PNL1_RNG2,9B,M-Q-6-50,4111W,2,1Bb,1BC,1,PR049,portcard_FPix_BmO_D1_PRT3,PB-4,J11,1,dcdc_FPix_BmO_D1_PRT3,Disk1_RG2,CI-A 027,PP6,B15,SN133278/0007,B14,3.02E+13,B,0x7c,0x10,FPix -z down right 3,1,FPix -z down right 3,2,7,green-3,29/30,4,b,1335,bottom,,10,1,2,D1-RG2-HV1,,1304,,,,,,,
